"Release_Date","Title","Popularity","Vote_Count","Vote_Average","Original_Language","Genre"
"2021-12-15","Spider-Man: No Way Home",5083.954,"8940","8.3","en","Action, Adventure, Science Fiction"
"2022-03-01","The Batman",3827.658,"1151","8.1","en","Crime, Mystery, Thriller"
"2022-02-25","No Exit",2618.087,"122","6.3","en","Thriller"
"2021-11-24","Encanto",2402.201,"5076","7.7","en","Animation, Comedy, Family, Fantasy"
"2021-12-22","The King's Man",1895.511,"1793","7.0","en","Action, Adventure, Thriller, War"
"2022-01-07","The Commando",1750.484,"33","6.6","en","Action, Crime, Thriller"
"2022-01-12","Scream",1675.161,"821","6.8","en","Horror, Mystery, Thriller"
"2022-02-10","Kimi",1601.782,"206","6.3","en","Thriller"
"2022-02-17","Fistful of Vengeance",1594.013,"114","5.3","en","Action, Crime, Fantasy"
"2021-11-03","Eternals",1537.406,"4726","7.2","en","Science Fiction"
"2022-02-18","Pursuit",1500.523,"16","5.9","en","Action, Crime, Thriller"
"2021-08-06","My Hero Academia: World Heroes' Mission",1485.064,"100","7.3","ja","Animation, Action, Fantasy, Adventure"
"2022-02-25","Restless",1468.377,"107","5.9","fr","Action, Thriller, Crime"
"2021-12-02","Nightmare Alley",1455.144,"952","7.1","en","Crime, Drama, Thriller"
"2022-01-28","The Ice Age Adventures of Buck Wild",1431.307,"737","7.1","en","Animation, Comedy, Adventure, Family"
"2022-02-25","Hotel Transylvania: Transformania",1373.778,"288","7.0","en","Animation, Family, Fantasy, Comedy, Adventure"
"2022-02-18","Texas Chainsaw Massacre",1312.79,"521","5.1","en","Horror"
"2022-01-28","The Requin",1252.317,"65","4.6","en","Thriller"
"2022-02-04","Looop Lapeta",1240.946,"31","6.0","hi","Action, Comedy, Crime"
"2021-11-04","Red Notice",1178.544,"3193","6.8","en","Action, Comedy, Crime, Thriller"
"2021-12-01","Sing 2",1112.9,"2172","8.2","en","Animation, Comedy, Family, Music"
"2022-01-03","The Jack in the Box: Awakening",1096.79,"43","5.4","en","Horror"
"2021-09-30","Venom: Let There Be Carnage",1053.615,"6539","7.1","en","Science Fiction, Action, Adventure"
"2021-12-16","The Matrix Resurrections",941.024,"3160","6.8","en","Science Fiction, Action, Adventure"
"2021-11-24","Resident Evil: Welcome to Raccoon City",881.086,"1312","6.1","en","Horror, Action, Science Fiction"
"2021-10-19","Last Man Down",869.605,"318","6.3","en","Action, Thriller"
"2022-01-07","American Siege",867.326,"49","5.4","en","Action, Thriller, Crime, Drama"
"2022-02-10","Uncharted",866.391,"691","7.1","en","Action, Adventure"
"2020-10-16","Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",845.992,"2224","8.4","ja","Animation, Action, Adventure, Fantasy"
"2021-11-11","Ghostbusters: Afterlife",839.904,"2225","7.7","en","Fantasy, Comedy, Adventure"
"2022-01-05","The 355",781.748,"313","6.1","en","Action, Thriller"
"2021-09-01","Shang-Chi and the Legend of the Ten Rings",769.185,"5845","7.7","en","Action, Adventure, Fantasy"
"2022-02-09","Marry Me",761.793,"230","6.9","en","Romance, Comedy, Music"
"2022-01-21","The Hunting",761.127,"10","5.8","en","Horror"
"2021-12-08","West Side Story",678.186,"562","7.4","en","Drama, Romance, Crime"
"2022-02-04","Through My Window",659.105,"1331","7.8","es","Romance, Drama"
"2021-07-02","The Seven Deadly Sins: Cursed by Light",647.54,"312","8.0","ja","Animation, Fantasy"
"2021-11-05","One Shot",622.24,"382","6.8","en","Action"
"2022-01-24","Tom and Jerry: Cowboy Up!",614.11,"163","7.1","en","Animation, Comedy, Family, Western"
"2020-10-15","Chernobyl: Abyss",601.958,"314","6.2","ru","Drama, History, Adventure"
"2022-02-25","Desperate Riders",590.474,"10","6.8","en","Western, Action"
"2021-11-10","Clifford the Big Red Dog",585.011,"1100","7.3","en","Family, Adventure, Comedy, Fantasy"
